session_id,run_label,marker_or_entity,normalized_marker_name,body_region_group,side,attached_bone,attached_bone_canonical,joint_family,adjacent_joint_family,mapping_source,mapping_confidence,mapping_version,template_mapping_status,n_events,n_frames_affected,gap_0p5_frames,gap_0p2_frames,artifact_sigma_frames,segment_swap_frames,severity_summary,recommendation_impact,notes
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:ChestLow,ChestLow,,,671_Chest,Chest,trunk_chest,,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,13,171,2,4,3,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:ChestTop,ChestTop,,,671_Chest,Chest,trunk_chest,,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,10,144,3,3,0,2,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:LElbowOut,LElbowOut,,,671_LUArm,LUArm,left_shoulder_arm,left_elbow_forearm,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,4,57,4,0,0,0,exclude,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:LFArm,LFArm,,,671_LFArm,LFArm,left_elbow_forearm,left_wrist_hand,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,13,204,3,4,2,1,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:LHandIn,LHandIn,,,671_LHand,LHand,left_wrist_hand,,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,6,120,4,2,0,0,exclude,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:LShoulderTop,LShoulderTop,,,671_LShoulder,LShoulder,left_shoulder_arm,,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,4,4,0,0,2,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:RFArm,RFArm,,,671_RFArm,RFArm,right_elbow_forearm,right_wrist_hand,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,12,208,12,0,0,0,exclude,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:RHandIn,RHandIn,,,671_RHand,RHand,right_wrist_hand,,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,27,0,0,0,1,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:RShoulderTop,RShoulderTop,,,671_RShoulder,RShoulder,right_shoulder_arm,,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,4,4,0,0,2,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,LHandIn__LWristOut,LHandIn__LWristOut,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,3,40,0,0,0,2,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,521,532,0,103,5,0,exclude,regional_risk_overlay,
